id,course,assignment,student_id,sequence_length,ast_nodes,max_depth,is_plagiarism_all,is_plagiarism_static,is_plagiarism_dynamic,plagiarism_group_size_all,plagiarism_group_size_static,plagiarism_group_size_dynamic
B2016_Z3/Z3_student4824,B2016,Z3/Z3,student4824,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student9482,B2016,Z3/Z3,student9482,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student3178,B2016,Z3/Z3,student3178,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student8993,B2016,Z3/Z3,student8993,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student2925,B2016,Z3/Z3,student2925,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5904,B2016,Z3/Z3,student5904,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1237,B2016,Z3/Z3,student1237,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student1579,B2016,Z3/Z3,student1579,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4415,B2016,Z3/Z3,student4415,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student2886,B2016,Z3/Z3,student2886,92,37,2,False,False,False,0,0,0
B2016_Z3/Z3_student4575,B2016,Z3/Z3,student4575,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2676,B2016,Z3/Z3,student2676,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5496,B2016,Z3/Z3,student5496,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5441,B2016,Z3/Z3,student5441,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student3756,B2016,Z3/Z3,student3756,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student4011,B2016,Z3/Z3,student4011,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6613,B2016,Z3/Z3,student6613,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student5468,B2016,Z3/Z3,student5468,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2111,B2016,Z3/Z3,student2111,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student6363,B2016,Z3/Z3,student6363,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8428,B2016,Z3/Z3,student8428,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5695,B2016,Z3/Z3,student5695,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student4414,B2016,Z3/Z3,student4414,22,9,2,False,False,False,0,0,0
B2016_Z3/Z3_student2717,B2016,Z3/Z3,student2717,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5078,B2016,Z3/Z3,student5078,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student6571,B2016,Z3/Z3,student6571,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5939,B2016,Z3/Z3,student5939,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2267,B2016,Z3/Z3,student2267,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student8986,B2016,Z3/Z3,student8986,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student4602,B2016,Z3/Z3,student4602,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8776,B2016,Z3/Z3,student8776,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student8004,B2016,Z3/Z3,student8004,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6029,B2016,Z3/Z3,student6029,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student3186,B2016,Z3/Z3,student3186,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7492,B2016,Z3/Z3,student7492,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student1793,B2016,Z3/Z3,student1793,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6956,B2016,Z3/Z3,student6956,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student8774,B2016,Z3/Z3,student8774,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4628,B2016,Z3/Z3,student4628,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5536,B2016,Z3/Z3,student5536,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student9318,B2016,Z3/Z3,student9318,82,33,2,False,False,False,0,0,0
B2016_Z3/Z3_student7335,B2016,Z3/Z3,student7335,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8006,B2016,Z3/Z3,student8006,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6995,B2016,Z3/Z3,student6995,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5244,B2016,Z3/Z3,student5244,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student4614,B2016,Z3/Z3,student4614,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student3386,B2016,Z3/Z3,student3386,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student7123,B2016,Z3/Z3,student7123,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8576,B2016,Z3/Z3,student8576,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student4416,B2016,Z3/Z3,student4416,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4370,B2016,Z3/Z3,student4370,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2701,B2016,Z3/Z3,student2701,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3594,B2016,Z3/Z3,student3594,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7080,B2016,Z3/Z3,student7080,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student5867,B2016,Z3/Z3,student5867,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student3557,B2016,Z3/Z3,student3557,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2675,B2016,Z3/Z3,student2675,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3219,B2016,Z3/Z3,student3219,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student8199,B2016,Z3/Z3,student8199,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student1624,B2016,Z3/Z3,student1624,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2477,B2016,Z3/Z3,student2477,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6604,B2016,Z3/Z3,student6604,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student1180,B2016,Z3/Z3,student1180,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student5899,B2016,Z3/Z3,student5899,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7678,B2016,Z3/Z3,student7678,102,41,2,False,False,False,0,0,0
B2016_Z3/Z3_student7888,B2016,Z3/Z3,student7888,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student3350,B2016,Z3/Z3,student3350,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student1547,B2016,Z3/Z3,student1547,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student9325,B2016,Z3/Z3,student9325,92,37,2,False,False,False,0,0,0
